temp,temp_aparente,humedad,viento,visibilidad,presion
9.47222222222222,7.388888888888887,0.89,3.7576189269269973,15.826300000000002,1015.13
9.355555555555558,7.227777777777776,0.86,3.776850539801648,15.826300000000002,1015.63
9.377777777777778,9.377777777777778,0.89,1.9820191724602463,14.9569,1015.94
8.28888888888889,5.944444444444446,0.83,3.755476001787257,15.826300000000002,1016.41
8.755555555555553,6.977777777777779,0.83,3.3233416917313816,15.826300000000002,1016.51
9.22222222222222,7.11111111111111,0.85,3.736134365892105,14.9569,1016.66
7.733333333333334,5.522222222222221,0.95,3.5163617561337457,9.982,1016.72
8.77222222222222,6.527777777777778,0.89,3.7619011151278285,9.982,1016.84
10.82222222222222,10.82222222222222,0.82,3.364268122489645,9.982,1017.37
13.77222222222222,13.77222222222222,0.72,3.5391806961498875,9.982,1017.22
16.016666666666666,16.016666666666666,0.67,4.19107384807283,11.2056,1017.42
17.144444444444446,17.144444444444446,0.54,4.4482468456685265,11.4471,1017.74
17.800000000000004,17.800000000000004,0.55,4.684474356851577,11.27,1017.59
17.333333333333332,17.333333333333332,0.51,4.548461278278623,11.27,1017.48
18.87777777777778,18.87777777777778,0.47,3.9211605424924905,11.4471,1017.17
18.911111111111115,18.911111111111115,0.46,3.224996124028679,11.27,1016.47
15.38888888888889,15.38888888888889,0.6,3.795984720727943,11.27,1016.15
15.550000000000002,15.550000000000002,0.63,3.340254481323242,11.4471,1016.17
14.255555555555553,14.255555555555553,0.69,2.9183728343033897,11.2056,1015.82
13.144444444444442,13.144444444444442,0.7,2.762498868778049,11.2056,1015.83
11.55,11.55,0.77,2.7184370509540954,11.0285,1015.85
11.183333333333334,11.183333333333334,0.76,2.21959455757127,9.982,1015.77
10.116666666666667,10.116666666666667,0.79,2.578623663895141,15.826300000000002,1015.4
10.2,10.2,0.77,1.9820191724602463,14.9569,1015.51
10.42222222222222,10.42222222222222,0.62,4.121346867226781,15.826300000000002,1014.4
9.911111111111111,7.566666666666666,0.66,4.14860217422688,15.826300000000002,1014.2
11.183333333333334,11.183333333333334,0.8,3.2892552348518045,14.9569,1008.71
7.155555555555556,5.044444444444443,0.79,3.3281826872934723,15.826300000000002,1014.47
6.111111111111111,4.816666666666667,0.82,2.578623663895141,15.826300000000002,1014.45
6.788888888888888,4.272222222222221,0.83,3.606771409446404,14.9569,1014.49
7.26111111111111,5.155555555555556,0.85,3.3426636085612924,6.1985,1014.52
7.799999999999999,5.52777777777778,0.83,3.579888266412794,8.05,1014.16
9.872222222222224,7.933333333333334,0.78,3.7080183386817276,9.982,1014.24
12.22222222222222,12.22222222222222,0.72,3.953871520421472,9.982,1014.25
15.094444444444449,15.094444444444449,0.61,4.18915265895145,9.982,1013.96
17.355555555555558,17.355555555555558,0.52,4.772996962077391,9.982,1013.85
19.00555555555555,19.00555555555555,0.46,4.887985270026905,9.982,1013.04
20.04444444444444,20.04444444444444,0.4,5.326180620294434,9.982,1012.22
21.05,21.05,0.4,5.186819834927756,10.3523,1011.44
21.18333333333333,21.18333333333333,0.37,5.0690827572648685,9.982,1010.52
20.11666666666666,20.11666666666666,0.4,5.030824982048173,9.982,1009.83
20.216666666666665,20.216666666666665,0.36,4.255878287733332,10.3523,1009.26
20.0,20.0,0.43,4.839989669410463,9.982,1008.76
17.800000000000004,17.800000000000004,0.5,4.477108441840559,11.2056,1008.36
16.06111111111111,16.06111111111111,0.53,4.625678328634623,9.982,1008.11
15.02222222222222,15.02222222222222,0.55,4.6239377158435,9.982,1008.15
14.422222222222224,14.422222222222224,0.58,4.47351092543653,15.826300000000002,1007.85
14.255555555555553,14.255555555555553,0.59,4.06232691938992,14.9569,1007.89
13.77222222222222,13.77222222222222,0.6,4.134996977024287,15.826300000000002,1007.36
13.283333333333331,13.283333333333331,0.63,3.7896173949358003,15.826300000000002,1007.26
8.633333333333333,5.466666666666669,0.87,4.694773689966323,6.6976,1005.1
11.25,11.25,0.83,3.3666600660001302,15.826300000000002,1007.01
11.183333333333334,11.183333333333334,0.89,3.3474766616064704,9.9015,1006.73
10.694444444444445,10.694444444444445,0.95,3.224996124028679,6.6976,1006.59
11.11111111111111,11.11111111111111,0.93,3.465631255630062,5.9731000000000005,1006.34
11.11111111111111,11.11111111111111,0.93,3.034666373755112,10.8031,1006.09
12.166666666666666,12.166666666666666,0.82,3.1466649011294483,10.6743,1005.97
12.755555555555556,12.755555555555556,0.79,3.718857351391688,10.8192,1005.63
13.838888888888889,13.838888888888889,0.84,3.0160404506571195,10.8192,1005.83
16.183333333333334,16.183333333333334,0.73,0.8024961059095552,10.7548,1005.97
17.516666666666666,17.516666666666666,0.67,0.8223138087129511,10.8997,1005.64
17.383333333333333,17.383333333333333,0.67,1.9657059800488983,10.851400000000002,1005.2
17.36111111111111,17.36111111111111,0.71,2.79724864822561,11.0768,1005.1
17.205555555555556,17.205555555555556,0.74,3.9477588578837994,10.851400000000002,1004.65
15.633333333333333,15.633333333333333,0.81,4.868182412358847,10.8836,1004.04
